MODALIDADE,SITUACAO_CONTA,QTD_TA,EMENDAS,QTD_PRORROGA,UF_PROPONENTE,PERC_CONTRA,PERC_REPASSE,SITUACAO_PROJETO_BASICO,PERC_DESEMBOLSADO,QTDE_CONVENIOS,TARGET
CONTRATO DE REPASSE,Regularizada,10.0,0.0,1.0,CE,0.0760951337103497,0.923904829274232,Não Cadastrado,0.461952414637116,1,1
CONTRATO DE REPASSE,Regularizada,6.0,0.0,0.0,AL,0.0476519337016575,0.952348066298343,Não Cadastrado,0.124662379143646,1,1
CONVENIO,Regularizada,2.0,0.0,5.0,SE,0.0,1.0,Aprovado,1.0,1,1
CONVENIO,Regularizada,1.0,0.0,3.0,RJ,0.0,1.0,Aprovado,1.0,1,1
CONVENIO,Regularizada,0.0,0.0,2.0,MG,0.0267518466759832,0.973248153324017,Em Análise,0.973248153324017,1,1
CONVENIO,Regularizada,3.0,0.0,2.0,PA,0.1,0.9,Aprovado,0.9,1,1
CONTRATO DE REPASSE,Regularizada,2.0,0.0,0.0,AL,0.0203227734608488,0.979677226539151,Em Análise,0.656187861127715,1,1
CONTRATO DE REPASSE,Regularizada,4.0,0.0,0.0,SC,0.0116222222222222,0.988377777777778,Não Cadastrado,0.311054083333333,1,1
CONVENIO,Regularizada,1.0,0.0,1.0,AC,0.0533903377055427,0.946609662294457,Não Cadastrado,0.946609662294457,1,1
CONVENIO,Regularizada,1.0,0.0,0.0,RS,0.0476190476190476,0.952380952380952,Aprovado,0.952380952380952,1,1
CONVENIO,Regularizada,0.0,0.0,1.0,CE,0.100112485939258,0.899887514060742,Aprovado,0.899887514060742,1,1
CONVENIO,Regularizada,2.0,0.0,4.0,RJ,0.0690966719492868,0.794104595879556,Aprovado,0.794104595879556,1,1
CONVENIO,Regularizada,4.0,0.0,2.0,PA,0.024390243902439,0.975609756097561,Não Cadastrado,0.48780487804878,1,1
CONVENIO,Regularizada,1.0,1.0,1.0,SE,0.040016006402561,0.959983993597439,Aprovado,0.959983993597439,1,1
CONVENIO,Regularizada,0.0,0.0,1.0,SC,0.0788505613211287,0.906740395746344,Aprovado,0.906740395746344,1,1
CONVENIO,Regularizada,1.0,0.0,1.0,RS,0.00497512437810945,0.995024875621891,Aprovado,0.995024875621891,1,1
CONVENIO,Regularizada,1.0,1.0,1.0,MG,0.0336801133299963,0.966319886670004,Aprovado,0.966319886670004,1,1
CONVENIO,Regularizada,0.0,0.0,0.0,RS,0.0100000001678635,0.989999957026953,Não Cadastrado,0.989999957026953,1,1
CONVENIO,Regularizada,3.0,0.0,1.0,MG,0.02,0.98,Em Complementação,0.49,1,1
CONVENIO,Regularizada,0.0,0.0,1.0,RN,0.0800249814518481,0.919974987067921,Em Análise,0.436842818704596,1,1
CONVENIO,Pendente de Regularização,0.0,0.0,1.0,MG,0.00300401035382235,0.996995989646178,Aprovado,0.996995989646178,1,1
CONVENIO,Pendente de Regularização,3.0,0.0,0.0,PR,0.00299997548971115,0.996999986333236,Aprovado,0.996999986333236,1,1
CONVENIO,Regularizada,1.0,1.0,3.0,RR,0.0213412843916984,0.978658715608302,Em Análise,0.978658715608302,1,1
CONVENIO,Regularizada,4.0,0.0,1.0,TO,0.019999994766788,0.980000018059712,Em Análise,0.803512712518689,1,1
CONVENIO,Regularizada,2.0,0.0,2.0,GO,0.0199999967426015,0.97999999757589,Em Análise,0.97999999757589,1,1
CONVENIO,Regularizada,3.0,0.0,6.0,RS,0.0400000292499985,0.959999952000002,Aprovado,0.959999952000002,1,1
CONVENIO,Regularizada,2.0,0.0,2.0,MG,0.0,1.0,Aprovado,0.95,1,1
CONVENIO,Regularizada,0.0,0.0,1.0,MG,0.0,1.0,Aprovado,1.0,1,1
CONVENIO,Regularizada,0.0,0.0,1.0,RS,0.0201842053693906,0.979815794630609,Não Cadastrado,0.979815794630609,1,1
CONVENIO,Regularizada,0.0,0.0,5.0,ES,0.025377228992805,0.974622801940048,Não Cadastrado,0.974622801940048,1,1
CONVENIO,Pendente de Regularização,0.0,0.0,8.0,SE,0.029126213592233,0.970873786407767,Não Cadastrado,0.970873786407767,1,1
CONVENIO,Pendente de Regularização,0.0,0.0,3.0,AL,0.072126313548384,0.927873695512883,Não Cadastrado,0.695417268062928,1,1
CONVENIO,Registrada,0.0,0.0,1.0,RO,0.0199998432262945,0.980000149296898,Não Cadastrado,0.980000149296898,1,1
CONVENIO,Regularizada,0.0,1.0,1.0,AC,0.0200017639968248,0.979998236003175,Aguardando,0.979998236003175,1,1
CONVENIO,Regularizada,0.0,1.0,5.0,RR,0.029999997753323,0.969999946079752,Aprovado,0.969999946079752,1,1
CONVENIO,Regularizada,0.0,0.0,1.0,PA,0.039999987888417,0.959999997693032,Aprovado,0.959999997693032,1,1
CONVENIO,Regularizada,0.0,0.0,1.0,PA,0.0400000006224225,0.960000014938141,Aprovado,0.960000014938141,1,1
TERMO DE PARCERIA,Regularizada,2.0,0.0,0.0,PR,0.0,1.0,Não Cadastrado,0.668235941856597,1,1
CONTRATO DE REPASSE,Regularizada,0.0,0.0,0.0,PE,0.020502317526376,0.979497654267937,Não Cadastrado,0.0,1,1
CONTRATO DE REPASSE,Regularizada,3.0,0.0,1.0,MG,0.0909090909090909,0.909090909090909,Em Análise,0.0,1,1
CONVENIO,Regularizada,0.0,1.0,1.0,RR,0.0220048899755501,0.97799511002445,Em Análise,0.97799511002445,1,1
CONVENIO,Regularizada,0.0,1.0,2.0,RR,0.0200286123032904,0.97997138769671,Aprovado,0.97997138769671,1,1
CONVENIO,Regularizada,2.0,0.0,1.0,MG,0.0205088516977847,0.979491148302215,Aprovado,0.979491148302215,1,1
CONVENIO,Regularizada,2.0,0.0,1.0,PI,0.0428302705831283,0.957169729416872,Aprovado,0.957169729416872,1,1
CONVENIO,Regularizada,3.0,0.0,1.0,RJ,0.0,1.0,Aprovado,0.76,1,1
CONVENIO,Regularizada,7.0,0.0,0.0,PA,0.0199999922086145,0.980000052741687,Aprovado,0.979999992807952,1,1
CONVENIO,Regularizada,1.0,1.0,2.0,RS,0.0,1.0,Aprovado,1.0,1,1
CONVENIO,Regularizada,0.0,1.0,6.0,PI,0.05,0.95,Aprovado,0.0,1,1
CONVENIO,Regularizada,0.0,0.0,3.0,MA,0.0318118948824343,0.968188105117566,Aprovado,0.968188105117566,1,1
CONVENIO,Regularizada,1.0,1.0,3.0,SE,0.0,1.0,Aprovado,1.0,1,1
CONVENIO,Regularizada,0.0,0.0,3.0,MA,0.0476190476190476,0.952380952380952,Aguardando,0.476190476190476,1,1
CONVENIO,Regularizada,2.0,0.0,1.0,CE,0.0199999840694327,0.980000048222258,Não Cadastrado,0.980000048222258,1,1
CONVENIO,Regularizada,0.0,0.0,0.0,GO,0.024390243902439,0.975609756097561,Em Análise,0.975609756097561,1,1
CONVENIO,Regularizada,1.0,0.0,0.0,PI,0.02,0.98,Em Análise,0.98,1,1
CONVENIO,Regularizada,2.0,1.0,1.0,RS,0.0,1.0,Aprovado,1.0,1,1
CONVENIO,Regularizada,4.0,0.0,0.0,PI,0.0308641975308642,0.969135802469136,Aprovado,0.414567901234568,1,1
CONVENIO,Regularizada,4.0,0.0,0.0,PI,0.0300001551999752,0.969999844800025,Aprovado,0.969999844800025,1,1
CONVENIO,Regularizada,0.0,0.0,0.0,DF,0.001,0.999,Aprovado,0.999,1,1
CONVENIO,Regularizada,1.0,0.0,2.0,MT,0.0200001633333061,0.979999836666694,Em Análise,0.979999836666694,1,1
CONVENIO,Regularizada,0.0,0.0,0.0,PB,0.020412,0.979588,Em Análise,0.979588,1,1
CONVENIO,Regularizada,0.0,1.0,2.0,AM,0.0476190476190476,0.952380952380952,Em Análise,0.952380952380952,1,1
CONVENIO,Pendente de Regularização,1.0,0.0,2.0,AM,0.061021039327961,0.938978983596331,Aprovado,0.469489491798165,1,1
CONVENIO,Pendente de Regularização,0.0,0.0,1.0,RJ,0.0223715952906245,0.977628404709375,Aprovado,0.977628404709375,1,1
CONVENIO,Regularizada,3.0,1.0,1.0,RS,0.0,1.0,Aprovado,1.0,1,1
CONVENIO,Regularizada,2.0,1.0,1.0,RS,0.0,1.0,Aprovado,1.0,1,1
CONVENIO,Regularizada,0.0,0.0,0.0,PA,0.0200000016533238,0.980000006613295,Em Análise,0.980000006613295,1,1
CONVENIO,Regularizada,0.0,0.0,0.0,PA,0.019999994694704,0.980000024252782,Em Análise,0.668669852134831,1,1
CONVENIO,Regularizada,0.0,0.0,0.0,PA,0.0199999963920205,0.979999966208192,Em Análise,0.979999966208192,1,1
CONVENIO,Regularizada,0.0,0.0,0.0,PA,0.0200000002493319,0.979999989361838,Não Cadastrado,0.979999989361838,1,1
CONVENIO,Regularizada,0.0,0.0,0.0,PA,0.019999998296091,0.979999993184364,Em Análise,0.979999993184364,1,1
CONVENIO,Regularizada,0.0,1.0,2.0,AP,0.040014591778205,0.959985408221795,Em Análise,0.959985408221795,1,1
CONVENIO,Regularizada,0.0,1.0,2.0,AM,0.0445859872611465,0.955414012738854,Aprovado,0.636942675159236,1,1
CONVENIO,Regularizada,2.0,0.0,1.0,SE,0.100000065624992,0.899999887500014,Aprovado,0.599999925000009,1,1
CONVENIO,Regularizada,0.0,0.0,0.0,PA,0.0200000003335456,0.980000008005093,Não Cadastrado,0.980000008005093,1,1
CONVENIO,Regularizada,0.0,1.0,2.0,AM,0.0476190476190476,0.952380952380952,Aprovado,0.714285714285714,1,1
CONVENIO,Pendente de Regularização,0.0,0.0,1.0,SC,0.100593782745372,0.899406217254628,Em Análise,0.899406217254628,1,1
CONVENIO,Regularizada,0.0,0.0,0.0,PA,0.020000000334961,0.980000036750001,Em Análise,0.980000036750001,1,1
CONVENIO,Regularizada,0.0,0.0,0.0,PB,0.020412,0.979588,Em Análise,0.979588,1,1
CONVENIO,Regularizada,1.0,0.0,2.0,RS,0.0861639139918978,0.913836086008102,Aprovado,0.913836086008102,1,1
CONVENIO,Regularizada,0.0,1.0,2.0,AM,0.0476190476190476,0.952380952380952,Aprovado,0.952380952380952,1,1
CONVENIO,Regularizada,4.0,0.0,1.0,MS,0.020979020979021,0.979020979020979,Aprovado,0.244755244755245,1,1
CONTRATO DE REPASSE,Regularizada,3.0,0.0,1.0,MG,0.0799999993905095,0.920000046321277,Em Análise,0.920000046321277,1,1
CONVENIO,Regularizada,0.0,1.0,3.0,RR,0.0299999998752548,0.969999972057071,Aprovado,0.969999972057071,1,1
CONVENIO,Regularizada,0.0,1.0,1.0,AP,0.0200561834454825,0.979943816554518,Aprovado,0.979943816554518,1,1
CONVENIO,Regularizada,2.0,0.0,0.0,PI,0.0102018772388643,0.967294027603009,Aprovado,0.92692231792258,1,1
CONTRATO DE REPASSE,Pendente de Regularização,3.0,1.0,0.0,AP,0.0500001948717549,0.949999805128245,Aguardando,0.0,1,1
CONVENIO,Regularizada,0.0,0.0,0.0,PA,0.1,0.9,Em Análise,0.9,1,1
CONVENIO,Regularizada,0.0,0.0,1.0,PA,0.0205250053228343,0.979474979372869,Em Análise,0.979474979372869,1,1
CONVENIO,Regularizada,0.0,1.0,5.0,PI,0.100000009738574,0.900000038954295,Aprovado,0.0,1,1
CONVENIO,Regularizada,0.0,0.0,8.0,MA,0.0199999996751463,0.979999992203511,Aprovado,0.783999967774513,1,1
CONVENIO,Regularizada,0.0,1.0,1.0,PI,0.02,0.98,Em Análise,0.98,1,1
CONTRATO DE REPASSE,Pendente de Regularização,0.0,1.0,0.0,SE,0.0,1.0,Aguardando,0.0,1,1
CONVENIO,Regularizada,1.0,1.0,2.0,BA,0.0,1.0,Aprovado,1.0,1,1
CONVENIO,Regularizada,1.0,0.0,1.0,BA,0.0191600187878,0.938840522695967,Aprovado,0.938840522695967,1,1
CONVENIO,Regularizada,1.0,0.0,0.0,SC,0.0531464192845298,0.94685358071547,Aprovado,0.473426790357735,1,1
CONVENIO,Regularizada,2.0,1.0,3.0,MG,0.0,1.0,Aprovado,1.0,1,1
CONVENIO,Regularizada,1.0,0.0,1.0,PI,0.04,0.96,Em Análise,0.96,1,1
CONVENIO,Regularizada,0.0,0.0,1.0,SP,0.121621621621622,0.878378378378378,Aprovado,0.351351351351351,1,1
CONVENIO,Regularizada,1.0,0.0,1.0,PR,0.0792705946443635,0.911611847313994,Aguardando,0.911611847313994,1,1
CONVENIO,Regularizada,0.0,0.0,1.0,RJ,0.101642710472279,0.898357289527721,Aprovado,0.898357289527721,1,1
CONTRATO DE REPASSE,Regularizada,1.0,0.0,1.0,RJ,0.0843836554521902,0.91561634454781,Em Análise,0.91561634454781,1,1
CONVENIO,Regularizada,0.0,0.0,0.0,PA,0.0328517982659839,0.96714819228921,Em Análise,0.96714819228921,1,1
CONVENIO,Regularizada,0.0,0.0,1.0,PR,0.0199999548698038,0.980000079026266,Aprovado,0.980000079026266,1,1
CONVENIO,Regularizada,0.0,1.0,8.0,AP,0.354838709677419,0.645161290322581,Aprovado,0.645161290322581,1,1
CONVENIO,Regularizada,2.0,1.0,5.0,SE,0.0,1.0,Aprovado,1.0,1,1
CONVENIO,Regularizada,0.0,1.0,1.0,AP,0.0500000006747159,0.949999989204546,Aprovado,0.949999989204546,1,1
CONTRATO DE REPASSE,Regularizada,0.0,0.0,1.0,RN,0.081055968349648,0.918944031650352,Em Análise,0.918944031650352,1,1
CONVENIO,Regularizada,0.0,0.0,0.0,PB,0.0312099562111086,0.968790043788891,Em Análise,0.968790043788891,1,1
CONTRATO DE REPASSE,Regularizada,1.0,0.0,1.0,AC,0.0556650307942979,0.944334969205702,Não Cadastrado,0.944334969205702,1,1
